,Unnamed: 0,Unnamed: 0.1,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,Year,home_rank,away_rank,Home_team_current_form,Away_team_current_form,Home_team home_form
0,0,0,1/26/2000,Spain,Poland,3,0,Friendly,Cartagena,Spain,False,Spain,2000,7,43,10,1,10
1,1,1,2/23/2000,Belgium,Portugal,1,1,Friendly,Charleroi,Belgium,False,Draw,2000,27,6,8,11,5
2,2,2,2/23/2000,Croatia,Spain,0,0,Friendly,Split,Croatia,False,Draw,2000,18,7,2,8,4
3,3,3,2/23/2000,England,Argentina,0,0,Friendly,London,England,False,Draw,2000,17,3,8,8,8
4,4,4,2/23/2000,France,Poland,1,0,Friendly,Saint-Denis,France,False,France,2000,2,43,13,1,12
5,5,5,2/23/2000,Greece,Austria,4,1,Friendly,Kalamáta,Greece,False,Greece,2000,42,44,11,1,11
6,6,6,2/23/2000,Italy,Sweden,1,0,Friendly,Palermo,Italy,False,Italy,2000,4,23,5,8,7
7,7,7,2/23/2000,Netherlands,Germany,2,1,Friendly,Amsterdam,Netherlands,False,Netherlands,2000,8,11,7,10,6
8,8,8,3/29/2000,Belgium,Netherlands,2,2,Friendly,Brussels,Belgium,False,Draw,2000,27,8,8,7,6
9,9,9,3/29/2000,Croatia,Germany,1,1,Friendly,Zagreb,Croatia,False,Draw,2000,18,11,3,8,4
10,10,10,3/29/2000,Greece,Romania,2,0,Friendly,Athens,Greece,False,Greece,2000,42,13,11,8,11
11,11,11,3/29/2000,Portugal,Denmark,2,1,Friendly,Leiria,Portugal,False,Portugal,2000,6,22,11,4,15
12,12,12,3/29/2000,Scotland,France,0,2,Friendly,Glasgow,Scotland,False,France,2000,25,2,9,15,6
13,13,13,3/29/2000,Spain,Italy,2,0,Friendly,Barcelona,Spain,False,Spain,2000,7,4,8,4,10
14,14,14,4/26/2000,France,Slovenia,3,2,Friendly,Saint-Denis,France,False,France,2000,2,35,15,1,12
15,15,15,4/26/2000,Germany,Switzerland,1,1,Friendly,Kaiserslautern,Germany,False,Draw,2000,11,58,6,4,11
16,16,16,4/26/2000,Republic of Ireland,Greece,0,1,Friendly,Dublin,Republic of Ireland,False,Greece,2000,31,42,1,13,4
17,17,17,4/26/2000,Italy,Portugal,2,0,Friendly,Reggio di Calabria,Italy,False,Italy,2000,4,6,7,8,9
18,18,18,4/26/2000,Netherlands,Scotland,0,0,Friendly,Arnhem,Netherlands,False,Draw,2000,8,25,7,7,7
19,19,19,4/26/2000,Norway,Belgium,0,2,Friendly,Oslo,Norway,False,Belgium,2000,14,27,7,8,5
20,20,20,5/27/2000,England,Brazil,1,1,Friendly,London,England,False,Draw,2000,17,1,8,9,8
21,21,21,5/27/2000,Netherlands,Romania,2,1,Friendly,Amsterdam,Netherlands,False,Netherlands,2000,8,13,9,7,9
22,22,22,5/28/2000,Croatia,France,0,2,Friendly,Zagreb,Croatia,False,France,2000,18,2,2,15,4
23,23,23,5/30/2000,Republic of Ireland,Scotland,1,2,Friendly,Dublin,Republic of Ireland,False,Scotland,2000,31,25,1,7,1
24,24,24,5/31/2000,England,Ukraine,2,0,Friendly,London,England,False,England,2000,17,34,8,3,8
25,25,25,6/2/2000,Portugal,Wales,3,0,Friendly,Chaves,Portugal,False,Portugal,2000,6,109,10,3,15
26,26,26,6/3/2000,Denmark,Belgium,2,2,Friendly,Copenhagen,Denmark,False,Draw,2000,22,27,5,9,8
27,27,27,6/3/2000,Germany,Czech Republic,3,2,Friendly,Nuremberg,Germany,False,Germany,2000,11,5,8,10,11
28,28,28,6/3/2000,Malta,England,1,2,Friendly,Attard,Malta,False,England,2000,119,17,0,8,0
29,29,29,6/3/2000,Norway,Italy,1,0,Friendly,Oslo,Norway,False,Norway,2000,14,4,9,6,7
30,30,30,6/3/2000,Romania,Greece,2,1,Friendly,Bucharest,Romania,False,Romania,2000,13,42,7,10,13
31,31,31,6/3/2000,Sweden,Spain,1,1,Friendly,Gothenburg,Sweden,False,Draw,2000,23,7,8,8,11
32,32,32,6/4/2000,France,Japan,2,2,King Hassan II Tournament,Casablanca,Morocco,True,Draw,2000,2,38,13,3,13
33,33,33,6/4/2000,Netherlands,Poland,3,1,Friendly,Lausanne,Switzerland,True,Netherlands,2000,8,43,11,1,11
34,34,34,6/6/2000,Morocco,France,1,5,King Hassan II Tournament,Casablanca,Morocco,False,France,2000,28,2,6,13,4
35,35,35,6/7/2000,Germany,Liechtenstein,8,2,Friendly,Freiburg,Germany,False,Germany,2000,11,147,8,0,11
36,36,36,6/7/2000,Luxembourg,Spain,0,1,Friendly,Luxembourg,Luxembourg,False,Spain,2000,139,7,1,11,1
37,37,37,6/10/2000,Belgium,Sweden,2,1,UEFA Euro,Brussels,Belgium,False,Belgium,2000,27,23,9,5,8
