,Unnamed: 0,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,Year,home_rank,away_rank
0,0,1/26/2000,Spain,Poland,3,0,Friendly,Cartagena,Spain,False,Spain,2000,7,43
1,1,2/23/2000,Belgium,Portugal,1,1,Friendly,Charleroi,Belgium,False,Draw,2000,27,6
2,2,2/23/2000,Croatia,Spain,0,0,Friendly,Split,Croatia,False,Draw,2000,18,7
3,3,2/23/2000,England,Argentina,0,0,Friendly,London,England,False,Draw,2000,17,3
4,4,2/23/2000,France,Poland,1,0,Friendly,Saint-Denis,France,False,France,2000,2,43
5,5,2/23/2000,Greece,Austria,4,1,Friendly,Kalamáta,Greece,False,Greece,2000,42,44
6,6,2/23/2000,Italy,Sweden,1,0,Friendly,Palermo,Italy,False,Italy,2000,4,23
7,7,2/23/2000,Netherlands,Germany,2,1,Friendly,Amsterdam,Netherlands,False,Netherlands,2000,8,11
8,8,3/29/2000,Belgium,Netherlands,2,2,Friendly,Brussels,Belgium,False,Draw,2000,27,8
9,9,3/29/2000,Croatia,Germany,1,1,Friendly,Zagreb,Croatia,False,Draw,2000,18,11
10,10,3/29/2000,Greece,Romania,2,0,Friendly,Athens,Greece,False,Greece,2000,42,13
11,11,3/29/2000,Portugal,Denmark,2,1,Friendly,Leiria,Portugal,False,Portugal,2000,6,22
12,12,3/29/2000,Scotland,France,0,2,Friendly,Glasgow,Scotland,False,France,2000,25,2
13,13,3/29/2000,Spain,Italy,2,0,Friendly,Barcelona,Spain,False,Spain,2000,7,4
14,14,4/26/2000,France,Slovenia,3,2,Friendly,Saint-Denis,France,False,France,2000,2,35
15,15,4/26/2000,Germany,Switzerland,1,1,Friendly,Kaiserslautern,Germany,False,Draw,2000,11,58
16,16,4/26/2000,Republic of Ireland,Greece,0,1,Friendly,Dublin,Republic of Ireland,False,Greece,2000,31,42
17,17,4/26/2000,Italy,Portugal,2,0,Friendly,Reggio di Calabria,Italy,False,Italy,2000,4,6
18,18,4/26/2000,Netherlands,Scotland,0,0,Friendly,Arnhem,Netherlands,False,Draw,2000,8,25
19,19,4/26/2000,Norway,Belgium,0,2,Friendly,Oslo,Norway,False,Belgium,2000,14,27
20,20,5/27/2000,England,Brazil,1,1,Friendly,London,England,False,Draw,2000,17,1
21,21,5/27/2000,Netherlands,Romania,2,1,Friendly,Amsterdam,Netherlands,False,Netherlands,2000,8,13
22,22,5/28/2000,Croatia,France,0,2,Friendly,Zagreb,Croatia,False,France,2000,18,2
23,23,5/30/2000,Republic of Ireland,Scotland,1,2,Friendly,Dublin,Republic of Ireland,False,Scotland,2000,31,25
24,24,5/31/2000,England,Ukraine,2,0,Friendly,London,England,False,England,2000,17,34
25,25,6/2/2000,Portugal,Wales,3,0,Friendly,Chaves,Portugal,False,Portugal,2000,6,109
26,26,6/3/2000,Denmark,Belgium,2,2,Friendly,Copenhagen,Denmark,False,Draw,2000,22,27
27,27,6/3/2000,Germany,Czech Republic,3,2,Friendly,Nuremberg,Germany,False,Germany,2000,11,5
28,28,6/3/2000,Malta,England,1,2,Friendly,Attard,Malta,False,England,2000,119,17
29,29,6/3/2000,Norway,Italy,1,0,Friendly,Oslo,Norway,False,Norway,2000,14,4
30,30,6/3/2000,Romania,Greece,2,1,Friendly,Bucharest,Romania,False,Romania,2000,13,42
31,31,6/3/2000,Sweden,Spain,1,1,Friendly,Gothenburg,Sweden,False,Draw,2000,23,7
32,32,6/4/2000,France,Japan,2,2,King Hassan II Tournament,Casablanca,Morocco,True,Draw,2000,2,38
33,33,6/4/2000,Netherlands,Poland,3,1,Friendly,Lausanne,Switzerland,True,Netherlands,2000,8,43
34,34,6/6/2000,Morocco,France,1,5,King Hassan II Tournament,Casablanca,Morocco,False,France,2000,28,2
35,35,6/7/2000,Germany,Liechtenstein,8,2,Friendly,Freiburg,Germany,False,Germany,2000,11,147
36,36,6/7/2000,Luxembourg,Spain,0,1,Friendly,Luxembourg,Luxembourg,False,Spain,2000,139,7
37,37,6/10/2000,Belgium,Sweden,2,1,UEFA Euro,Brussels,Belgium,False,Belgium,2000,27,23
