,date,home_team,away_team,home_score,away_score,tournament,neutral,winner,GD,home_team_curr_form,away_team_curr_form,home_team_home_form,home_rank,away_rank,rank_diff
0,2000-01-26,Spain,Poland,3,0,Friendly,False,Spain,3,10,1,10,7,43,36
1,2000-02-23,Belgium,Portugal,1,1,Friendly,False,Draw,0,8,11,5,27,6,21
2,2000-02-23,Croatia,Spain,0,0,Friendly,False,Draw,0,2,8,4,18,7,11
3,2000-02-23,England,Argentina,0,0,Friendly,False,Draw,0,8,8,8,17,3,14
4,2000-02-23,France,Poland,1,0,Friendly,False,France,1,13,1,12,2,43,41
5,2000-02-23,Greece,Austria,4,1,Friendly,False,Greece,3,11,1,11,42,44,2
6,2000-02-23,Italy,Sweden,1,0,Friendly,False,Italy,1,5,8,7,4,23,19
7,2000-02-23,Netherlands,Germany,2,1,Friendly,False,Netherlands,1,7,10,6,8,11,3
8,2000-03-29,Belgium,Netherlands,2,2,Friendly,False,Draw,0,8,7,6,27,8,19
9,2000-03-29,Croatia,Germany,1,1,Friendly,False,Draw,0,3,8,4,18,11,7
10,2000-03-29,Greece,Romania,2,0,Friendly,False,Greece,2,11,8,11,42,13,29
11,2000-03-29,Portugal,Denmark,2,1,Friendly,False,Portugal,1,11,4,15,6,22,16
12,2000-03-29,Scotland,France,0,2,Friendly,False,France,2,9,15,6,25,2,23
13,2000-03-29,Spain,Italy,2,0,Friendly,False,Spain,2,8,4,10,7,4,3
14,2000-04-26,France,Slovenia,3,2,Friendly,False,France,1,15,1,12,2,35,33
15,2000-04-26,Germany,Switzerland,1,1,Friendly,False,Draw,0,6,4,11,11,58,47
16,2000-04-26,Republic of Ireland,Greece,0,1,Friendly,False,Greece,1,1,13,4,31,42,11
17,2000-04-26,Italy,Portugal,2,0,Friendly,False,Italy,2,7,8,9,4,6,2
18,2000-04-26,Netherlands,Scotland,0,0,Friendly,False,Draw,0,7,7,7,8,25,17
19,2000-04-26,Norway,Belgium,0,2,Friendly,False,Belgium,2,7,8,5,14,27,13
20,2000-05-27,England,Brazil,1,1,Friendly,False,Draw,0,8,9,8,17,1,16
21,2000-05-27,Netherlands,Romania,2,1,Friendly,False,Netherlands,1,9,7,9,8,13,5
22,2000-05-28,Croatia,France,0,2,Friendly,False,France,2,2,15,4,18,2,16
23,2000-05-30,Republic of Ireland,Scotland,1,2,Friendly,False,Scotland,1,1,7,1,31,25,6
24,2000-05-31,England,Ukraine,2,0,Friendly,False,England,2,8,3,8,17,34,17
25,2000-06-02,Portugal,Wales,3,0,Friendly,False,Portugal,3,10,3,15,6,109,103
26,2000-06-03,Denmark,Belgium,2,2,Friendly,False,Draw,0,5,9,8,22,27,5
27,2000-06-03,Germany,Czech Republic,3,2,Friendly,False,Germany,1,8,10,11,11,5,6
28,2000-06-03,Malta,England,1,2,Friendly,False,England,1,0,8,0,119,17,102
29,2000-06-03,Norway,Italy,1,0,Friendly,False,Norway,1,9,6,7,14,4,10
30,2000-06-03,Romania,Greece,2,1,Friendly,False,Romania,1,7,10,13,13,42,29
31,2000-06-03,Sweden,Spain,1,1,Friendly,False,Draw,0,8,8,11,23,7,16
32,2000-06-04,France,Japan,2,2,Friendly,True,Draw,0,13,3,13,2,38,36
33,2000-06-04,Netherlands,Poland,3,1,Friendly,True,Netherlands,2,11,1,11,8,43,35
34,2000-06-06,Morocco,France,1,5,Friendly,False,France,4,6,13,4,28,2,26
35,2000-06-07,Germany,Liechtenstein,8,2,Friendly,False,Germany,6,8,0,11,11,147,136
36,2000-06-07,Luxembourg,Spain,0,1,Friendly,False,Spain,1,1,11,1,139,7,132
37,2000-06-10,Belgium,Sweden,2,1,UEFA Euro,False,Belgium,1,9,5,8,27,23,4
38,2000-06-11,France,Denmark,3,0,UEFA Euro,True,France,3,13,5,13,2,22,20
39,2000-06-11,Netherlands,Czech Republic,1,0,UEFA Euro,False,Netherlands,1,11,7,13,8,5,3
40,2000-06-11,Turkey,Italy,1,2,UEFA Euro,True,Italy,1,5,9,6,30,4,26
41,2000-06-12,Germany,Romania,1,1,UEFA Euro,True,Draw,0,9,5,9,11,13,2
42,2000-06-12,Portugal,England,3,2,UEFA Euro,True,Portugal,1,10,8,15,6,17,11
43,2000-06-13,Spain,Norway,0,1,UEFA Euro,True,Norway,1,8,9,7,7,14,7
44,2000-06-14,Belgium,Italy,0,2,UEFA Euro,False,Italy,2,8,9,8,27,4,23
45,2000-06-16,Czech Republic,France,1,2,UEFA Euro,True,France,1,4,13,7,5,2,3
46,2000-06-16,Netherlands,Denmark,3,0,UEFA Euro,False,Netherlands,3,13,4,13,8,22,14
47,2000-06-17,England,Germany,1,0,UEFA Euro,True,England,1,10,8,8,17,11,6
48,2000-06-17,Romania,Portugal,0,1,UEFA Euro,True,Portugal,1,4,12,10,13,6,7
49,2000-06-18,Slovenia,Spain,1,2,UEFA Euro,True,Spain,1,1,10,1,35,7,28
50,2000-06-19,Belgium,Turkey,0,2,UEFA Euro,False,Turkey,2,7,8,5,27,30,3
51,2000-06-19,Italy,Sweden,2,1,UEFA Euro,True,Italy,1,12,2,9,4,23,19
52,2000-06-20,England,Romania,2,3,UEFA Euro,True,Romania,1,9,7,8,17,13,4
53,2000-06-20,Portugal,Germany,3,0,UEFA Euro,True,Portugal,3,12,7,15,6,11,5
54,2000-06-21,Netherlands,France,3,2,UEFA Euro,False,Netherlands,1,15,10,15,8,2,6
55,2000-06-21,Serbia,Spain,3,4,UEFA Euro,True,Spain,1,2,10,1,201,7,194
56,2000-06-24,Italy,Romania,2,0,UEFA Euro,True,Italy,2,12,7,12,4,13,9
57,2000-06-24,Turkey,Portugal,0,2,UEFA Euro,True,Portugal,2,7,15,6,30,6,24
58,2000-06-25,Netherlands,Serbia,6,1,UEFA Euro,False,Netherlands,5,15,2,15,8,201,193
59,2000-06-25,Spain,France,1,2,UEFA Euro,True,France,1,9,12,6,7,2,5
60,2000-06-28,France,Portugal,2,1,UEFA Euro,True,France,1,12,12,13,2,6,4
61,2000-06-29,Netherlands,Italy,0,0,UEFA Euro,False,Italy,0,12,15,12,8,4,4
62,2000-07-02,France,Italy,2,1,UEFA Euro,True,France,1,12,12,13,2,4,2
63,2000-08-16,Bulgaria,Belgium,1,3,Friendly,False,Belgium,2,5,7,7,53,27,26
64,2000-08-16,Germany,Spain,4,1,Friendly,False,Germany,3,7,6,11,11,7,4
65,2000-08-16,Portugal,Lithuania,5,1,Friendly,False,Portugal,4,12,4,15,6,85,79
66,2000-08-16,Switzerland,Greece,2,2,Friendly,False,Draw,0,4,10,3,58,42,16
67,2000-09-02,Belgium,Croatia,0,0,FIFA World Cup qualification,False,Draw,0,7,3,5,27,18,9
68,2000-09-02,Bosnia and Herzegovina,Spain,1,2,FIFA World Cup qualification,False,Spain,1,3,9,3,78,7,71
69,2000-09-02,France,England,1,1,Friendly,False,Draw,0,10,7,11,2,17,15
70,2000-09-02,Germany,Greece,2,0,FIFA World Cup qualification,False,Germany,2,7,7,13,11,42,31
71,2000-09-02,Latvia,Scotland,0,1,FIFA World Cup qualification,False,Scotland,1,4,10,2,92,25,67
72,2000-09-02,Netherlands,Republic of Ireland,2,2,FIFA World Cup qualification,False,Draw,0,10,2,10,8,31,23
73,2000-09-03,Estonia,Portugal,1,3,FIFA World Cup qualification,False,Portugal,2,2,12,2,67,6,61
74,2000-09-03,Hungary,Italy,2,2,FIFA World Cup qualification,False,Draw,0,2,10,3,47,4,43
75,2000-10-04,France,Cameroon,1,1,Friendly,False,Draw,0,11,5,11,2,39,37
76,2000-10-07,Cyprus,Netherlands,0,4,FIFA World Cup qualification,False,Netherlands,4,3,10,4,62,8,54
77,2000-10-07,England,Germany,0,1,FIFA World Cup qualification,False,Germany,1,4,9,7,17,11,6
78,2000-10-07,Greece,Finland,1,0,FIFA World Cup qualification,False,Greece,1,7,3,13,42,59,17
79,2000-10-07,Italy,Romania,3,0,FIFA World Cup qualification,False,Italy,3,10,4,15,4,13,9
80,2000-10-07,Latvia,Belgium,0,4,FIFA World Cup qualification,False,Belgium,4,4,7,1,92,27,65
81,2000-10-07,Portugal,Republic of Ireland,1,1,FIFA World Cup qualification,False,Draw,0,10,2,13,6,31,25
82,2000-10-07,San Marino,Scotland,0,2,FIFA World Cup qualification,False,Scotland,2,0,10,0,168,25,143
