,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner
22610,2000-01-26,Spain,Poland,3,0,Friendly,Cartagena,Spain,False,Spain
22728,2000-02-23,Belgium,Portugal,1,1,Friendly,Charleroi,Belgium,False,Draw
22730,2000-02-23,Croatia,Spain,0,0,Friendly,Split,Croatia,False,Draw
22731,2000-02-23,England,Argentina,0,0,Friendly,London,England,False,Draw
22733,2000-02-23,France,Poland,1,0,Friendly,Saint-Denis,France,False,France
22734,2000-02-23,Greece,Austria,4,1,Friendly,Kalamáta,Greece,False,Greece
22738,2000-02-23,Italy,Sweden,1,0,Friendly,Palermo,Italy,False,Italy
22742,2000-02-23,Netherlands,Germany,2,1,Friendly,Amsterdam,Netherlands,False,Netherlands
22823,2000-03-29,Belgium,Netherlands,2,2,Friendly,Brussels,Belgium,False,Draw
22826,2000-03-29,Croatia,Germany,1,1,Friendly,Zagreb,Croatia,False,Draw
22829,2000-03-29,Greece,Romania,2,0,Friendly,Athens,Greece,False,Greece
22834,2000-03-29,Portugal,Denmark,2,1,Friendly,Leiria,Portugal,False,Portugal
22835,2000-03-29,Scotland,France,0,2,Friendly,Glasgow,Scotland,False,France
22836,2000-03-29,Spain,Italy,2,0,Friendly,Barcelona,Spain,False,Spain
22965,2000-04-26,France,Slovenia,3,2,Friendly,Saint-Denis,France,False,France
22966,2000-04-26,Germany,Switzerland,1,1,Friendly,Kaiserslautern,Germany,False,Draw
22967,2000-04-26,Republic of Ireland,Greece,0,1,Friendly,Dublin,Republic of Ireland,False,Greece
22968,2000-04-26,Italy,Portugal,2,0,Friendly,Reggio di Calabria,Italy,False,Italy
22974,2000-04-26,Netherlands,Scotland,0,0,Friendly,Arnhem,Netherlands,False,Draw
22976,2000-04-26,Norway,Belgium,0,2,Friendly,Oslo,Norway,False,Belgium
23039,2000-05-27,England,Brazil,1,1,Friendly,London,England,False,Draw
23043,2000-05-27,Netherlands,Romania,2,1,Friendly,Amsterdam,Netherlands,False,Netherlands
23045,2000-05-28,Croatia,France,0,2,Friendly,Zagreb,Croatia,False,France
