,date,winner,GD,rank_diff,Opp_Team,Team_Form,Opp_Form,Team_Venue_Form,Opp_Venue_Form,Team_Cumul_GD,Opp_Cumul_GD,team_rank
0,2000-01-26,Spain,3,36,Poland,10,4,10,9,11,-5,7
1,2000-02-23,Draw,0,11,Croatia,10,8,13,8,12,-1,7
2,2000-03-29,Spain,2,-3,Italy,8,5,10,6,4,-2,7
3,2000-06-03,Draw,0,16,Sweden,8,5,11,13,3,-1,7
4,2000-06-07,Spain,1,132,Luxembourg,8,1,11,1,3,-12,7
5,2000-06-13,Norway,1,7,Norway,11,10,8,6,6,3,7
6,2000-06-18,Spain,1,28,Slovenia,8,8,5,6,2,5,7
7,2000-06-21,Spain,1,194,Serbia,10,9,7,10,3,3,7
8,2000-06-25,France,1,-5,France,10,10,10,13,2,7,7
9,2000-08-16,Germany,3,4,Germany,9,7,11,11,1,3,7
10,2000-09-02,Spain,1,71,Bosnia and Herzegovina,6,10,8,9,-3,2,7
11,2000-10-07,Spain,2,34,Israel,9,4,10,0,-1,-3,7
12,2000-10-11,Draw,0,37,Austria,9,8,8,7,0,4,7
13,2000-11-15,Netherlands,1,1,Netherlands,7,7,10,6,-1,7,7
14,2001-02-28,England,3,3,England,7,2,8,5,-1,-3,7
15,2001-03-24,Spain,5,143,Liechtenstein,7,0,9,0,-1,-12,7
16,2001-03-28,Spain,1,-6,France,7,11,12,10,3,10,7
17,2001-04-25,Spain,1,27,Japan,7,7,12,3,2,-4,7
18,2001-06-02,Spain,3,62,Bosnia and Herzegovina,9,8,12,7,3,2,7
19,2001-06-06,Draw,0,42,Israel,12,9,7,13,7,4,7
20,2001-09-01,Spain,4,49,Austria,13,7,12,5,10,1,7
21,2001-09-05,Spain,2,143,Liechtenstein,13,0,5,0,9,-15,7
22,2001-11-14,Spain,1,2,Mexico,13,13,15,4,10,10,7
23,2002-02-13,Draw,0,8,Portugal,13,15,15,10,10,20,3
24,2002-03-27,Netherlands,1,3,Netherlands,11,8,8,11,7,8,3
25,2002-04-17,Spain,5,100,Northern Ireland,10,8,5,4,6,1,3
26,2002-06-02,Spain,2,33,Slovenia,10,10,9,5,7,-1,3
27,2002-06-07,Spain,2,15,Paraguay,10,6,9,4,7,-3,3
28,2002-06-12,Spain,1,27,South Africa,10,13,12,11,8,6,3
29,2002-06-16,Spain,0,11,Republic of Ireland,12,8,12,11,9,3,3
30,2002-06-22,South Korea,0,17,South Korea,15,10,7,10,10,3,3
31,2002-08-21,Draw,0,53,Hungary,12,3,7,3,5,-6,3
32,2002-09-07,Spain,2,45,Greece,10,8,7,8,3,2,3
33,2002-10-12,Spain,3,100,Northern Ireland,10,5,13,5,3,-7,3
34,2002-10-16,Draw,0,15,Paraguay,10,6,13,6,5,0,3
35,2002-11-20,Spain,1,39,Bulgaria,8,10,11,8,5,4,3
36,2003-02-12,Spain,2,9,Germany,11,8,11,8,6,1,3
37,2003-03-29,Draw,0,57,Ukraine,13,7,7,10,8,2,3
38,2003-04-02,Spain,3,110,Armenia,11,7,11,4,6,-1,3
39,2003-04-30,Spain,4,34,Ecuador,11,8,13,5,6,0,3
40,2003-06-07,Greece,1,27,Greece,13,11,13,8,10,4,3
41,2003-06-11,Draw,0,119,Northern Ireland,10,1,8,2,8,-6,3
42,2003-09-06,Spain,3,14,Portugal,8,11,6,13,6,6,3
43,2003-09-10,Spain,1,57,Ukraine,10,4,12,3,9,-3,3
44,2003-10-11,Spain,4,110,Armenia,10,6,9,5,7,-3,3
45,2003-11-15,Spain,1,39,Norway,10,5,12,3,7,-1,3
46,2003-11-19,Spain,3,39,Norway,13,4,11,8,9,-2,3
47,2004-02-18,Spain,1,61,Peru,15,6,12,1,12,2,5
48,2004-03-31,Spain,2,9,Denmark,15,9,12,13,10,3,5
49,2004-04-28,Draw,0,5,Italy,15,10,11,13,11,4,5
50,2004-06-05,Spain,4,133,Andorra,13,1,12,0,7,-12,5
51,2004-06-12,Spain,1,27,Russia,13,6,12,12,10,0,5
52,2004-06-16,Draw,0,13,Greece,13,9,15,6,8,-1,5
53,2004-06-20,Portugal,1,4,Portugal,11,10,11,10,7,7,5
54,2004-08-18,Spain,1,57,Venezuela,8,2,15,7,4,-4,5
55,2004-09-03,Draw,0,81,Scotland,10,6,15,3,5,-1,5
56,2004-09-08,Draw,0,74,Bosnia and Herzegovina,8,8,10,11,1,1,5
57,2004-10-09,Spain,2,40,Belgium,6,5,13,5,0,-3,5
58,2004-10-13,Draw,0,95,Lithuania,8,4,8,9,2,-1,5
59,2004-11-17,Spain,1,3,England,9,13,13,7,3,7,5
60,2005-02-09,Spain,5,150,San Marino,9,3,13,1,3,-12,5
61,2005-03-26,Spain,3,67,China PR,11,9,13,6,8,5,5
62,2005-03-30,Draw,0,196,Serbia,13,11,13,7,11,10,5
63,2005-06-04,Spain,1,95,Lithuania,11,8,13,5,9,2,5
64,2005-06-08,Draw,0,60,Bosnia and Herzegovina,13,5,15,7,10,-2,5
65,2005-08-17,Spain,2,13,Uruguay,11,7,13,4,9,1,5
66,2005-09-03,Spain,1,79,Canada,11,3,13,7,6,-6,5
67,2005-09-07,Draw,0,196,Serbia,11,5,13,8,4,0,5
68,2005-10-08,Spain,2,50,Belgium,11,10,6,10,4,10,5
69,2005-10-12,Spain,6,150,San Marino,11,0,6,3,5,-19,5
70,2005-11-12,Spain,4,40,Slovakia,13,9,11,8,11,3,5
71,2005-11-16,Draw,0,40,Slovakia,13,8,8,9,13,-1,5
72,2006-03-01,Spain,1,191,Ivory Coast,11,9,11,4,12,0,12
73,2006-05-27,Draw,0,10,Russia,13,8,13,7,13,5,12
74,2006-06-03,Spain,2,15,Egypt,11,13,11,7,11,6,12
75,2006-06-07,Spain,1,3,Croatia,11,10,11,4,7,7,12
76,2006-06-14,Spain,4,1,Ukraine,11,11,11,7,4,10,12
77,2006-06-19,Spain,2,20,Tunisia,13,5,11,7,8,2,12
78,2006-06-23,Spain,1,52,Saudi Arabia,13,4,11,4,9,-6,12
79,2006-06-27,France,2,-8,France,15,11,13,8,10,6,12
80,2006-08-15,Draw,0,81,Iceland,12,0,9,6,6,-8,12
81,2006-09-02,Spain,4,146,Liechtenstein,10,0,11,3,5,-8,12
82,2006-09-06,Northern Ireland,1,36,Northern Ireland,10,6,9,7,5,-4,12
83,2006-10-07,Sweden,2,2,Sweden,7,7,8,11,2,-2,12
84,2006-10-11,Spain,1,-9,Argentina,4,7,13,6,-1,4,12
85,2006-11-15,Romania,1,7,Romania,7,11,13,10,2,6,12
86,2007-02-07,Spain,1,8,England,6,8,5,13,1,4,4
