,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner_x,winner_y
0,2000-06-29,Netherlands,Italy,0,0,UEFA Euro,Amsterdam,Netherlands,False,Draw,Italy
1,2002-06-16,Spain,Republic of Ireland,1,1,FIFA World Cup,Suwon,South Korea,True,Draw,Spain
2,2002-06-22,South Korea,Spain,0,0,FIFA World Cup,Gwangju,South Korea,False,Draw,South Korea
3,2004-06-24,Portugal,England,2,2,UEFA Euro,Lisbon,Portugal,False,Draw,Portugal
4,2004-06-26,Sweden,Netherlands,0,0,UEFA Euro,Faro,Portugal,True,Draw,Netherlands
5,2006-06-30,Germany,Argentina,1,1,FIFA World Cup,Berlin,Germany,False,Draw,Germany
6,2006-07-01,England,Portugal,0,0,FIFA World Cup,Gelsenkirchen,Germany,True,Draw,Portugal
7,2006-07-09,Italy,France,1,1,FIFA World Cup,Berlin,Germany,True,Draw,Italy
8,2008-06-22,Spain,Italy,0,0,UEFA Euro,Vienna,Austria,True,Draw,Spain
9,2012-06-24,England,Italy,0,0,UEFA Euro,Kyiv,Ukraine,True,Draw,Italy
10,2012-06-27,Portugal,Spain,0,0,UEFA Euro,Donets'k,Ukraine,True,Draw,Spain
11,2013-06-27,Spain,Italy,0,0,Confederations Cup,Fortaleza,Brazil,True,Draw,Spain
12,2013-06-30,Uruguay,Italy,2,2,Confederations Cup,Salvador,Brazil,True,Draw,Italy
13,2014-06-29,Costa Rica,Greece,1,1,FIFA World Cup,Recife,Brazil,True,Draw,Costa Rica
14,2014-07-05,Netherlands,Costa Rica,0,0,FIFA World Cup,Salvador,Brazil,True,Draw,Netherlands
15,2014-07-09,Netherlands,Argentina,0,0,FIFA World Cup,São Paulo,Brazil,True,Draw,Argentina
16,2016-06-30,Poland,Portugal,1,1,UEFA Euro,Marseille,France,True,Draw,Portugal
17,2016-07-02,Germany,Italy,1,1,UEFA Euro,Bordeaux,France,True,Draw,Germany
18,2017-06-28,Portugal,Chile,0,0,Confederations Cup,Kazan,Russia,True,Draw,Chile
19,2018-07-01,Russia,Spain,1,1,FIFA World Cup,Moscow,Russia,False,Draw,Russia
20,2018-07-03,Colombia,England,1,1,FIFA World Cup,Moscow,Russia,True,Draw,England
